papeleta,modo,votos,precinto,unidad,colegio
PLEBISCITO,NULAS,0,1,2,3
ESTATAL,EN BLANCO,0,1,2,4
ESTATAL,NULAS,0,1,2,4
ESTATAL,PAPELETAS POR CANDIDATURA,104,1,2,4
LEGISLATIVA,EN BLANCO,0,1,2,4
LEGISLATIVA,NULAS,0,1,2,4
LEGISLATIVA,PAPELETAS POR CANDIDATURA,106,1,2,4
MUNICIPAL,EN BLANCO,0,1,2,4
MUNICIPAL,NULAS,0,1,2,4
MUNICIPAL,PAPELETAS POR CANDIDATURA,62,1,2,4
PLEBISCITO,EN BLANCO,2,1,2,4
PLEBISCITO,NULAS,0,1,2,4
ESTATAL,EN BLANCO,0,1,3,1
ESTATAL,NULAS,0,1,3,1
ESTATAL,PAPELETAS POR CANDIDATURA,68,1,3,1
LEGISLATIVA,EN BLANCO,1,1,3,1
LEGISLATIVA,NULAS,0,1,3,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,73,1,3,1
MUNICIPAL,EN BLANCO,0,1,3,1
MUNICIPAL,NULAS,0,1,3,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,40,1,3,1
PLEBISCITO,EN BLANCO,4,1,3,1
PLEBISCITO,NULAS,0,1,3,1
ESTATAL,EN BLANCO,0,1,3,2
ESTATAL,NULAS,0,1,3,2
ESTATAL,PAPELETAS POR CANDIDATURA,69,1,3,2
LEGISLATIVA,EN BLANCO,1,1,3,2
LEGISLATIVA,NULAS,0,1,3,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,75,1,3,2
MUNICIPAL,EN BLANCO,2,1,3,2
MUNICIPAL,NULAS,0,1,3,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,38,1,3,2
PLEBISCITO,EN BLANCO,3,1,3,2
PLEBISCITO,NULAS,0,1,3,2
ESTATAL,EN BLANCO,0,1,3,3
ESTATAL,NULAS,0,1,3,3
ESTATAL,PAPELETAS POR CANDIDATURA,57,1,3,3
LEGISLATIVA,EN BLANCO,1,1,3,3
LEGISLATIVA,NULAS,1,1,3,3
LEGISLATIVA,PAPELETAS POR CANDIDATURA,61,1,3,3
MUNICIPAL,EN BLANCO,0,1,3,3
MUNICIPAL,NULAS,0,1,3,3
MUNICIPAL,PAPELETAS POR CANDIDATURA,48,1,3,3
PLEBISCITO,EN BLANCO,8,1,3,3
PLEBISCITO,NULAS,0,1,3,3
ESTATAL,EN BLANCO,0,1,3,4
ESTATAL,NULAS,1,1,3,4
ESTATAL,PAPELETAS POR CANDIDATURA,63,1,3,4
LEGISLATIVA,EN BLANCO,1,1,3,4
LEGISLATIVA,NULAS,1,1,3,4
LEGISLATIVA,PAPELETAS POR CANDIDATURA,86,1,3,4
MUNICIPAL,EN BLANCO,0,1,3,4
MUNICIPAL,NULAS,0,1,3,4
MUNICIPAL,PAPELETAS POR CANDIDATURA,55,1,3,4
PLEBISCITO,EN BLANCO,17,1,3,4
PLEBISCITO,NULAS,0,1,3,4
ESTATAL,EN BLANCO,3,1,4,1
ESTATAL,NULAS,0,1,4,1
ESTATAL,PAPELETAS POR CANDIDATURA,71,1,4,1
LEGISLATIVA,EN BLANCO,0,1,4,1
LEGISLATIVA,NULAS,1,1,4,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,76,1,4,1
MUNICIPAL,EN BLANCO,1,1,4,1
MUNICIPAL,NULAS,1,1,4,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,63,1,4,1
PLEBISCITO,EN BLANCO,14,1,4,1
PLEBISCITO,NULAS,0,1,4,1
ESTATAL,EN BLANCO,1,1,4,2
ESTATAL,NULAS,0,1,4,2
ESTATAL,PAPELETAS POR CANDIDATURA,76,1,4,2
LEGISLATIVA,EN BLANCO,2,1,4,2
LEGISLATIVA,NULAS,0,1,4,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,80,1,4,2
MUNICIPAL,EN BLANCO,1,1,4,2
MUNICIPAL,NULAS,0,1,4,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,61,1,4,2
PLEBISCITO,EN BLANCO,9,1,4,2
PLEBISCITO,NULAS,0,1,4,2
ESTATAL,EN BLANCO,0,1,5,1
ESTATAL,NULAS,0,1,5,1
ESTATAL,PAPELETAS POR CANDIDATURA,87,1,5,1
LEGISLATIVA,EN BLANCO,0,1,5,1
LEGISLATIVA,NULAS,0,1,5,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,95,1,5,1
MUNICIPAL,EN BLANCO,0,1,5,1
MUNICIPAL,NULAS,0,1,5,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,57,1,5,1
PLEBISCITO,EN BLANCO,3,1,5,1
PLEBISCITO,NULAS,0,1,5,1
ESTATAL,EN BLANCO,1,1,5,2
ESTATAL,NULAS,0,1,5,2
ESTATAL,PAPELETAS POR CANDIDATURA,88,1,5,2
LEGISLATIVA,EN BLANCO,2,1,5,2
LEGISLATIVA,NULAS,0,1,5,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,94,1,5,2
MUNICIPAL,EN BLANCO,2,1,5,2
MUNICIPAL,NULAS,0,1,5,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,58,1,5,2
PLEBISCITO,EN BLANCO,2,1,5,2
PLEBISCITO,NULAS,0,1,5,2
ESTATAL,EN BLANCO,0,1,5,3
ESTATAL,NULAS,0,1,5,3
ESTATAL,PAPELETAS POR CANDIDATURA,94,1,5,3
LEGISLATIVA,EN BLANCO,0,1,5,3
LEGISLATIVA,NULAS,0,1,5,3
LEGISLATIVA,PAPELETAS POR CANDIDATURA,102,1,5,3
MUNICIPAL,EN BLANCO,0,1,5,3
MUNICIPAL,NULAS,0,1,5,3
MUNICIPAL,PAPELETAS POR CANDIDATURA,65,1,5,3
PLEBISCITO,EN BLANCO,2,1,5,3
PLEBISCITO,NULAS,0,1,5,3
ESTATAL,EN BLANCO,0,1,5,4
ESTATAL,NULAS,0,1,5,4
ESTATAL,PAPELETAS POR CANDIDATURA,90,1,5,4
LEGISLATIVA,EN BLANCO,0,1,5,4
LEGISLATIVA,NULAS,0,1,5,4
LEGISLATIVA,PAPELETAS POR CANDIDATURA,110,1,5,4
MUNICIPAL,EN BLANCO,0,1,5,4
MUNICIPAL,NULAS,0,1,5,4
MUNICIPAL,PAPELETAS POR CANDIDATURA,67,1,5,4
PLEBISCITO,EN BLANCO,5,1,5,4
PLEBISCITO,NULAS,0,1,5,4
ESTATAL,EN BLANCO,1,1,5,5
ESTATAL,NULAS,0,1,5,5
ESTATAL,PAPELETAS POR CANDIDATURA,75,1,5,5
LEGISLATIVA,EN BLANCO,2,1,5,5
LEGISLATIVA,NULAS,0,1,5,5
LEGISLATIVA,PAPELETAS POR CANDIDATURA,96,1,5,5
MUNICIPAL,EN BLANCO,1,1,5,5
MUNICIPAL,NULAS,0,1,5,5
MUNICIPAL,PAPELETAS POR CANDIDATURA,56,1,5,5
PLEBISCITO,EN BLANCO,6,1,5,5
PLEBISCITO,NULAS,0,1,5,5
ESTATAL,EN BLANCO,0,1,5,6
ESTATAL,NULAS,0,1,5,6
ESTATAL,PAPELETAS POR CANDIDATURA,107,1,5,6
LEGISLATIVA,EN BLANCO,1,1,5,6
LEGISLATIVA,NULAS,0,1,5,6
LEGISLATIVA,PAPELETAS POR CANDIDATURA,113,1,5,6
MUNICIPAL,EN BLANCO,0,1,5,6
MUNICIPAL,NULAS,0,1,5,6
MUNICIPAL,PAPELETAS POR CANDIDATURA,61,1,5,6
PLEBISCITO,EN BLANCO,3,1,5,6
PLEBISCITO,NULAS,0,1,5,6
ESTATAL,EN BLANCO,0,1,5,7
ESTATAL,NULAS,0,1,5,7
ESTATAL,PAPELETAS POR CANDIDATURA,68,1,5,7
LEGISLATIVA,EN BLANCO,0,1,5,7
LEGISLATIVA,NULAS,0,1,5,7
LEGISLATIVA,PAPELETAS POR CANDIDATURA,86,1,5,7
MUNICIPAL,EN BLANCO,0,1,5,7
MUNICIPAL,NULAS,0,1,5,7
MUNICIPAL,PAPELETAS POR CANDIDATURA,29,1,5,7
PLEBISCITO,EN BLANCO,5,1,5,7
PLEBISCITO,NULAS,0,1,5,7
ESTATAL,EN BLANCO,0,1,6,1
ESTATAL,NULAS,0,1,6,1
ESTATAL,PAPELETAS POR CANDIDATURA,82,1,6,1
LEGISLATIVA,EN BLANCO,0,1,6,1
LEGISLATIVA,NULAS,0,1,6,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,86,1,6,1
MUNICIPAL,EN BLANCO,0,1,6,1
MUNICIPAL,NULAS,0,1,6,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,47,1,6,1
PLEBISCITO,EN BLANCO,6,1,6,1
PLEBISCITO,NULAS,0,1,6,1
ESTATAL,EN BLANCO,0,1,6,2
ESTATAL,NULAS,0,1,6,2
ESTATAL,PAPELETAS POR CANDIDATURA,77,1,6,2
LEGISLATIVA,EN BLANCO,0,1,6,2
LEGISLATIVA,NULAS,0,1,6,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,73,1,6,2
MUNICIPAL,EN BLANCO,0,1,6,2
MUNICIPAL,NULAS,0,1,6,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,50,1,6,2
PLEBISCITO,EN BLANCO,9,1,6,2
PLEBISCITO,NULAS,0,1,6,2
ESTATAL,EN BLANCO,0,1,6,3
ESTATAL,NULAS,0,1,6,3
ESTATAL,PAPELETAS POR CANDIDATURA,99,1,6,3
LEGISLATIVA,EN BLANCO,2,1,6,3
LEGISLATIVA,NULAS,0,1,6,3
LEGISLATIVA,PAPELETAS POR CANDIDATURA,101,1,6,3
MUNICIPAL,EN BLANCO,1,1,6,3
MUNICIPAL,NULAS,0,1,6,3
MUNICIPAL,PAPELETAS POR CANDIDATURA,71,1,6,3
PLEBISCITO,EN BLANCO,11,1,6,3
PLEBISCITO,NULAS,0,1,6,3
ESTATAL,EN BLANCO,0,1,7,1
ESTATAL,NULAS,0,1,7,1
ESTATAL,PAPELETAS POR CANDIDATURA,89,1,7,1
LEGISLATIVA,EN BLANCO,1,1,7,1
LEGISLATIVA,NULAS,1,1,7,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,102,1,7,1
MUNICIPAL,EN BLANCO,1,1,7,1
MUNICIPAL,NULAS,0,1,7,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,70,1,7,1
PLEBISCITO,EN BLANCO,7,1,7,1
PLEBISCITO,NULAS,0,1,7,1
ESTATAL,EN BLANCO,1,1,7,2
ESTATAL,NULAS,0,1,7,2
ESTATAL,PAPELETAS POR CANDIDATURA,94,1,7,2
LEGISLATIVA,EN BLANCO,1,1,7,2
LEGISLATIVA,NULAS,0,1,7,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,111,1,7,2
MUNICIPAL,EN BLANCO,0,1,7,2
MUNICIPAL,NULAS,0,1,7,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,51,1,7,2
PLEBISCITO,EN BLANCO,6,1,7,2
PLEBISCITO,NULAS,0,1,7,2
ESTATAL,EN BLANCO,0,1,7,3
ESTATAL,NULAS,0,1,7,3
ESTATAL,PAPELETAS POR CANDIDATURA,83,1,7,3
LEGISLATIVA,EN BLANCO,2,1,7,3
LEGISLATIVA,NULAS,0,1,7,3
LEGISLATIVA,PAPELETAS POR CANDIDATURA,86,1,7,3
MUNICIPAL,EN BLANCO,1,1,7,3
MUNICIPAL,NULAS,0,1,7,3
MUNICIPAL,PAPELETAS POR CANDIDATURA,48,1,7,3
PLEBISCITO,EN BLANCO,3,1,7,3
PLEBISCITO,NULAS,0,1,7,3
ESTATAL,EN BLANCO,0,1,7,4
ESTATAL,NULAS,0,1,7,4
ESTATAL,PAPELETAS POR CANDIDATURA,97,1,7,4
LEGISLATIVA,EN BLANCO,4,1,7,4
LEGISLATIVA,NULAS,0,1,7,4
LEGISLATIVA,PAPELETAS POR CANDIDATURA,91,1,7,4
MUNICIPAL,EN BLANCO,1,1,7,4
MUNICIPAL,NULAS,0,1,7,4
MUNICIPAL,PAPELETAS POR CANDIDATURA,55,1,7,4
PLEBISCITO,EN BLANCO,2,1,7,4
PLEBISCITO,NULAS,0,1,7,4
ESTATAL,EN BLANCO,0,1,7,5
ESTATAL,NULAS,1,1,7,5
ESTATAL,PAPELETAS POR CANDIDATURA,67,1,7,5
LEGISLATIVA,EN BLANCO,1,1,7,5
LEGISLATIVA,NULAS,0,1,7,5
LEGISLATIVA,PAPELETAS POR CANDIDATURA,84,1,7,5
MUNICIPAL,EN BLANCO,0,1,7,5
MUNICIPAL,NULAS,0,1,7,5
MUNICIPAL,PAPELETAS POR CANDIDATURA,39,1,7,5
PLEBISCITO,EN BLANCO,0,1,7,5
PLEBISCITO,NULAS,0,1,7,5
ESTATAL,EN BLANCO,0,1,7,6
ESTATAL,NULAS,0,1,7,6
ESTATAL,PAPELETAS POR CANDIDATURA,73,1,7,6
LEGISLATIVA,EN BLANCO,0,1,7,6
LEGISLATIVA,NULAS,0,1,7,6
LEGISLATIVA,PAPELETAS POR CANDIDATURA,78,1,7,6
MUNICIPAL,EN BLANCO,0,1,7,6
MUNICIPAL,NULAS,0,1,7,6
MUNICIPAL,PAPELETAS POR CANDIDATURA,42,1,7,6
PLEBISCITO,EN BLANCO,1,1,7,6
PLEBISCITO,NULAS,0,1,7,6
ESTATAL,EN BLANCO,2,1,7,7
ESTATAL,NULAS,0,1,7,7
ESTATAL,PAPELETAS POR CANDIDATURA,91,1,7,7
LEGISLATIVA,EN BLANCO,2,1,7,7
LEGISLATIVA,NULAS,0,1,7,7
LEGISLATIVA,PAPELETAS POR CANDIDATURA,101,1,7,7
MUNICIPAL,EN BLANCO,2,1,7,7
MUNICIPAL,NULAS,0,1,7,7
MUNICIPAL,PAPELETAS POR CANDIDATURA,55,1,7,7
PLEBISCITO,EN BLANCO,6,1,7,7
PLEBISCITO,NULAS,0,1,7,7
ESTATAL,EN BLANCO,1,1,7,8
ESTATAL,NULAS,0,1,7,8
ESTATAL,PAPELETAS POR CANDIDATURA,102,1,7,8
LEGISLATIVA,EN BLANCO,6,1,7,8
LEGISLATIVA,NULAS,0,1,7,8
LEGISLATIVA,PAPELETAS POR CANDIDATURA,102,1,7,8
MUNICIPAL,EN BLANCO,2,1,7,8
MUNICIPAL,NULAS,0,1,7,8
MUNICIPAL,PAPELETAS POR CANDIDATURA,62,1,7,8
PLEBISCITO,EN BLANCO,4,1,7,8
PLEBISCITO,NULAS,0,1,7,8
ESTATAL,EN BLANCO,2,1,8,1
ESTATAL,NULAS,0,1,8,1
ESTATAL,PAPELETAS POR CANDIDATURA,62,1,8,1
LEGISLATIVA,EN BLANCO,3,1,8,1
LEGISLATIVA,NULAS,0,1,8,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,57,1,8,1
MUNICIPAL,EN BLANCO,4,1,8,1
MUNICIPAL,NULAS,1,1,8,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,41,1,8,1
PLEBISCITO,EN BLANCO,19,1,8,1
PLEBISCITO,NULAS,0,1,8,1
ESTATAL,EN BLANCO,1,1,8,2
ESTATAL,NULAS,0,1,8,2
ESTATAL,PAPELETAS POR CANDIDATURA,60,1,8,2
LEGISLATIVA,EN BLANCO,2,1,8,2
LEGISLATIVA,NULAS,1,1,8,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,56,1,8,2
MUNICIPAL,EN BLANCO,1,1,8,2
MUNICIPAL,NULAS,0,1,8,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,54,1,8,2
PLEBISCITO,EN BLANCO,5,1,8,2
PLEBISCITO,NULAS,0,1,8,2
ESTATAL,EN BLANCO,1,1,8,3
ESTATAL,NULAS,0,1,8,3
ESTATAL,PAPELETAS POR CANDIDATURA,70,1,8,3
LEGISLATIVA,EN BLANCO,0,1,8,3
LEGISLATIVA,NULAS,0,1,8,3
LEGISLATIVA,PAPELETAS POR CANDIDATURA,70,1,8,3
MUNICIPAL,EN BLANCO,1,1,8,3
MUNICIPAL,NULAS,0,1,8,3
MUNICIPAL,PAPELETAS POR CANDIDATURA,52,1,8,3
PLEBISCITO,EN BLANCO,7,1,8,3
PLEBISCITO,NULAS,0,1,8,3
ESTATAL,EN BLANCO,0,1,8,4
ESTATAL,NULAS,1,1,8,4
ESTATAL,PAPELETAS POR CANDIDATURA,54,1,8,4
LEGISLATIVA,EN BLANCO,1,1,8,4
LEGISLATIVA,NULAS,1,1,8,4
LEGISLATIVA,PAPELETAS POR CANDIDATURA,66,1,8,4
MUNICIPAL,EN BLANCO,0,1,8,4
MUNICIPAL,NULAS,4,1,8,4
MUNICIPAL,PAPELETAS POR CANDIDATURA,46,1,8,4
PLEBISCITO,EN BLANCO,17,1,8,4
PLEBISCITO,NULAS,0,1,8,4
ESTATAL,EN BLANCO,0,1,9,1
ESTATAL,NULAS,0,1,9,1
ESTATAL,PAPELETAS POR CANDIDATURA,58,1,9,1
LEGISLATIVA,EN BLANCO,0,1,9,1
LEGISLATIVA,NULAS,0,1,9,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,68,1,9,1
MUNICIPAL,EN BLANCO,0,1,9,1
MUNICIPAL,NULAS,0,1,9,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,44,1,9,1
PLEBISCITO,EN BLANCO,3,1,9,1
PLEBISCITO,NULAS,0,1,9,1
ESTATAL,EN BLANCO,0,1,9,2
ESTATAL,NULAS,0,1,9,2
ESTATAL,PAPELETAS POR CANDIDATURA,53,1,9,2
LEGISLATIVA,EN BLANCO,4,1,9,2
LEGISLATIVA,NULAS,0,1,9,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,61,1,9,2
MUNICIPAL,EN BLANCO,0,1,9,2
MUNICIPAL,NULAS,0,1,9,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,31,1,9,2
PLEBISCITO,EN BLANCO,5,1,9,2
PLEBISCITO,NULAS,0,1,9,2
ESTATAL,EN BLANCO,1,1,9,3
ESTATAL,NULAS,0,1,9,3
ESTATAL,PAPELETAS POR CANDIDATURA,63,1,9,3
LEGISLATIVA,EN BLANCO,1,1,9,3
LEGISLATIVA,NULAS,0,1,9,3
LEGISLATIVA,PAPELETAS POR CANDIDATURA,74,1,9,3
MUNICIPAL,EN BLANCO,2,1,9,3
MUNICIPAL,NULAS,0,1,9,3
MUNICIPAL,PAPELETAS POR CANDIDATURA,56,1,9,3
PLEBISCITO,EN BLANCO,4,1,9,3
PLEBISCITO,NULAS,0,1,9,3
ESTATAL,EN BLANCO,0,1,9,4
ESTATAL,NULAS,0,1,9,4
ESTATAL,PAPELETAS POR CANDIDATURA,67,1,9,4
LEGISLATIVA,EN BLANCO,2,1,9,4
LEGISLATIVA,NULAS,0,1,9,4
LEGISLATIVA,PAPELETAS POR CANDIDATURA,65,1,9,4
MUNICIPAL,EN BLANCO,0,1,9,4
MUNICIPAL,NULAS,0,1,9,4
MUNICIPAL,PAPELETAS POR CANDIDATURA,46,1,9,4
PLEBISCITO,EN BLANCO,3,1,9,4
PLEBISCITO,NULAS,0,1,9,4
ESTATAL,EN BLANCO,0,1,10,1
ESTATAL,NULAS,0,1,10,1
ESTATAL,PAPELETAS POR CANDIDATURA,48,1,10,1
LEGISLATIVA,EN BLANCO,1,1,10,1
LEGISLATIVA,NULAS,0,1,10,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,46,1,10,1
MUNICIPAL,EN BLANCO,0,1,10,1
MUNICIPAL,NULAS,0,1,10,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,49,1,10,1
PLEBISCITO,EN BLANCO,4,1,10,1
PLEBISCITO,NULAS,0,1,10,1
ESTATAL,EN BLANCO,0,1,10,2
ESTATAL,NULAS,0,1,10,2
ESTATAL,PAPELETAS POR CANDIDATURA,60,1,10,2
LEGISLATIVA,EN BLANCO,2,1,10,2
LEGISLATIVA,NULAS,0,1,10,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,46,1,10,2
MUNICIPAL,EN BLANCO,0,1,10,2
MUNICIPAL,NULAS,0,1,10,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,60,1,10,2
PLEBISCITO,EN BLANCO,5,1,10,2
PLEBISCITO,NULAS,0,1,10,2
ESTATAL,EN BLANCO,1,1,10,3
ESTATAL,NULAS,1,1,10,3
ESTATAL,PAPELETAS POR CANDIDATURA,66,1,10,3
LEGISLATIVA,EN BLANCO,3,1,10,3
LEGISLATIVA,NULAS,0,1,10,3
LEGISLATIVA,PAPELETAS POR CANDIDATURA,69,1,10,3
MUNICIPAL,EN BLANCO,2,1,10,3
MUNICIPAL,NULAS,0,1,10,3
MUNICIPAL,PAPELETAS POR CANDIDATURA,43,1,10,3
PLEBISCITO,EN BLANCO,1,1,10,3
PLEBISCITO,NULAS,0,1,10,3
ESTATAL,EN BLANCO,1,1,10,4
ESTATAL,NULAS,0,1,10,4
ESTATAL,PAPELETAS POR CANDIDATURA,58,1,10,4
LEGISLATIVA,EN BLANCO,2,1,10,4
LEGISLATIVA,NULAS,1,1,10,4
LEGISLATIVA,PAPELETAS POR CANDIDATURA,62,1,10,4
MUNICIPAL,EN BLANCO,0,1,10,4
MUNICIPAL,NULAS,0,1,10,4
MUNICIPAL,PAPELETAS POR CANDIDATURA,52,1,10,4
PLEBISCITO,EN BLANCO,18,1,10,4
PLEBISCITO,NULAS,0,1,10,4
ESTATAL,EN BLANCO,1,1,10,5
ESTATAL,NULAS,0,1,10,5
ESTATAL,PAPELETAS POR CANDIDATURA,53,1,10,5
LEGISLATIVA,EN BLANCO,1,1,10,5
LEGISLATIVA,NULAS,0,1,10,5
LEGISLATIVA,PAPELETAS POR CANDIDATURA,47,1,10,5
MUNICIPAL,EN BLANCO,0,1,10,5
MUNICIPAL,NULAS,0,1,10,5
MUNICIPAL,PAPELETAS POR CANDIDATURA,37,1,10,5
PLEBISCITO,EN BLANCO,4,1,10,5
PLEBISCITO,NULAS,0,1,10,5
ESTATAL,EN BLANCO,0,1,11,1
ESTATAL,NULAS,0,1,11,1
ESTATAL,PAPELETAS POR CANDIDATURA,47,1,11,1
LEGISLATIVA,EN BLANCO,1,1,11,1
LEGISLATIVA,NULAS,0,1,11,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,63,1,11,1
MUNICIPAL,EN BLANCO,0,1,11,1
MUNICIPAL,NULAS,0,1,11,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,33,1,11,1
PLEBISCITO,EN BLANCO,8,1,11,1
PLEBISCITO,NULAS,0,1,11,1
ESTATAL,EN BLANCO,1,1,11,2
ESTATAL,NULAS,0,1,11,2
ESTATAL,PAPELETAS POR CANDIDATURA,76,1,11,2
LEGISLATIVA,EN BLANCO,5,1,11,2
LEGISLATIVA,NULAS,0,1,11,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,69,1,11,2
MUNICIPAL,EN BLANCO,2,1,11,2
MUNICIPAL,NULAS,0,1,11,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,59,1,11,2
PLEBISCITO,EN BLANCO,6,1,11,2
PLEBISCITO,NULAS,0,1,11,2
ESTATAL,EN BLANCO,0,1,11,3
ESTATAL,NULAS,1,1,11,3
ESTATAL,PAPELETAS POR CANDIDATURA,60,1,11,3
LEGISLATIVA,EN BLANCO,0,1,11,3
LEGISLATIVA,NULAS,0,1,11,3
LEGISLATIVA,PAPELETAS POR CANDIDATURA,68,1,11,3
MUNICIPAL,EN BLANCO,0,1,11,3
MUNICIPAL,NULAS,0,1,11,3
MUNICIPAL,PAPELETAS POR CANDIDATURA,43,1,11,3
PLEBISCITO,EN BLANCO,1,1,11,3
PLEBISCITO,NULAS,0,1,11,3
ESTATAL,EN BLANCO,0,1,12,1
ESTATAL,NULAS,0,1,12,1
ESTATAL,PAPELETAS POR CANDIDATURA,66,1,12,1
LEGISLATIVA,EN BLANCO,1,1,12,1
LEGISLATIVA,NULAS,0,1,12,1
LEGISLATIVA,PAPELETAS POR CANDIDATURA,66,1,12,1
MUNICIPAL,EN BLANCO,0,1,12,1
MUNICIPAL,NULAS,0,1,12,1
MUNICIPAL,PAPELETAS POR CANDIDATURA,38,1,12,1
PLEBISCITO,EN BLANCO,0,1,12,1
PLEBISCITO,NULAS,0,1,12,1
ESTATAL,EN BLANCO,1,1,12,2
ESTATAL,NULAS,0,1,12,2
ESTATAL,PAPELETAS POR CANDIDATURA,40,1,12,2
LEGISLATIVA,EN BLANCO,2,1,12,2
LEGISLATIVA,NULAS,0,1,12,2
LEGISLATIVA,PAPELETAS POR CANDIDATURA,50,1,12,2
MUNICIPAL,EN BLANCO,2,1,12,2
MUNICIPAL,NULAS,0,1,12,2
MUNICIPAL,PAPELETAS POR CANDIDATURA,26,1,12,2
PLEBISCITO,EN BLANCO,5,1,12,2
PLEBISCITO,NULAS,0,1,12,2
ESTATAL,EN BLANCO,0,1,13,1
